50
Maria Silva 
Antônio Oliveira 
José Santos 
João Souza 
Francisco Rodrigues 
Ana Ferreira 
Luiz Alves 
Paulo Pereira 
Carlos Lima 
Manoel Gomes 
Pedro Costa 
Francisca Martins 
Marcos Carvalho 
Raimundo Lopes 
Sebastião Fernandes 
Antônia Vieira 
Marcelo Barbosa 
Jorge Rocha 
Márcia Dias 
Geraldo Nascimento 
Adriana Andrade 
Sandra Moreira 
Luis Nunes 
Fernando Machado 
Fabio Marques 
Roberto Mendes 
Márcio Freitas 
Edson Cardoso 
André Ramos 
Sérgio Gonçalves 
Josefa Santana 
Patrícia Teixeira 
Daniel Reis 
Rodrigo Melo 
Rafael Borges 
Joaquim Batista 
Vera Moraes 
Ricardo Campos 
Eduardo Ribeiro 
Terezinha Monteiro 
Sônia Castro 
Alexandre Barros 
Rita Moura 
Luciana Miranda 
Cláudio Garcia 
Rosa Duarte 
Benedito Medeiros 
Leandro Almeida 
Raimunda Soares 
Mário Linhares
